Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
SWI5	8.76334	11.7266	12.0546	4.54542	5.9327	4.52525
SWI6	19.1952	16.6972	18.5808	13.8098	14.6908	16.2536
SWM1	35.9497	31.2363	32.9987	39.1288	34.3999	41.0657
SWM2	25.5218	21.0007	24.1409	30.9003	25.0377	30.681
SWP1	265.058	195.871	191.885	204.571	208.861	236.276
SWP82	11.3577	13.4706	15.4703	9.85207	11.0151	10.2219
SWR1	7.39683	7.04122	7.70648	4.99127	6.26861	5.66448
SWS2	60.2532	81.7164	80.3721	84.0675	67.8113	81.8476
SWT1	14.9528	18.7531	18.3845	16.6054	15.428	14.2589
SWT21	9.17455	9.14841	9.69637	6.63066	8.16182	8.79819
SXM1	54.3854	43.7238	44.3298	53.7848	46.3956	40.903
SYC1	27.1355	30.0332	31.598	29.1032	21.5914	28.6587
SYF1	9.90258	9.31863	9.65287	9.81797	8.13052	8.77606
SYF2	6.95979	8.51621	9.79215	11.5137	8.20761	10.4205
SYG1	52.0745	43.0872	41.9994	43.5418	45.0795	35.259
SYH1	34.6287	39.0022	39.3314	32.2048	33.2731	31.0844
SYM1	41.4891	38.0385	47.8798	31.0888	55.6473	56.757
SYN8	84.8424	70.4348	72.3469	67.502	72.1823	87.8243
SYP1	42.7191	33.1993	34.4318	24.1888	40.0752	38.1767
SYS1	59.4439	45.2769	46.3228	57.4594	48.9657	48.6978
SYT1	9.38131	8.71224	8.45736	6.65243	7.90989	6.92317
TAD1	13.325	15.9993	14.686	16.5709	12.9735	14.4298
TAD2	18.9858	12.7312	16.1531	19.9051	13.7862	15.5915
TAD3	41.2417	33.826	33.0702	37.7828	30.6723	39.6035
TAE1	65.0138	63.5096	67.5479	74.4548	54.3928	63.6245
TAE2	12.4499	15.1632	17.1888	14.7767	14.8132	16.5798
TAF1	6.21665	8.29759	9.28944	6.67967	6.75012	6.4106
TAF10	59.1574	60.1455	60.299	62.5268	51.1931	57.5138
TAF11	22.9691	24.4629	24.2378	23.9378	19.6894	20.1434
TAF12	39.7679	44.0287	49.4569	34.5618	36.2789	36.616
TAF13	54.1737	51.9083	53.2893	49.9581	36.4743	48.404
TAF14	103.55	105.391	110.998	117.433	91.5107	115.742
TAF2	6.62559	6.12169	6.86105	4.94163	5.68383	4.6901
TAF3	30.0853	27.0152	32.1817	28.8162	32.1263	28.4487
TAF4	38.7512	39.6258	44.4964	41.239	36.3697	37.101
TAF5	18.3135	17.9029	18.0244	15.9922	14.4255	16.3413
TAF6	37.2088	33.4554	30.7274	34.6303	31.5347	32.771
TAF7	11.6099	10.87	12.0044	10.1745	8.12427	10.9018
TAF8	20.4554	19.8011	21.3007	16.5893	17.7135	16.1278
TAF9	117.803	112.261	134.505	111.508	89.3552	110.92
TAH1	104.84	97.4144	90.0863	112.343	86.7121	105.854
TAH11	14.2909	16.4238	16.9814	17.1864	19.898	17.9959
TAH18	10.1983	10.3694	11.1933	13.4771	9.78874	8.97746
TAL1	735.36	686.975	682.145	599.34	771.72	958.36
TAM41	33.8816	30.9008	32.0466	23.492	28.1468	21.3894
TAN1	33.1986	41.4917	42.272	43.4323	36.5357	39.7379
TAO3	7.75581	6.15373	6.5661	6.84714	7.18069	5.86342
TAP42	14.9541	17.1232	18.3125	15.6354	14.8532	19.0136
TAR1	213.361	134.643	1.21235	60.3896	0	18.8917
TAT1	132.425	89.5229	74.3009	121.601	100.407	81.8315
TAT2	73.8229	49.4958	49.8029	69.6631	64.4896	58.3669
TAX4	10.8335	8.74037	8.68846	10.1763	9.54168	9.56764
TAZ1	17.7199	17.9245	18.8863	22.8864	20.1027	21.7349
TBF1	16.2654	11.8025	11.9802	12.3479	12.6036	12.4885
TBS1	5.63815	5.74527	5.53928	4.23907	4.07485	3.50284
TCA17	18.3042	20.0273	15.1762	21.7449	16.9402	13.971
TCB1	28.3739	26.4	28.6336	21.8338	27.4423	28.3739
TCB2	35.1899	31.7947	31.5036	26.9294	28.3804	24.7052
TCB3	35.9375	32.089	33.2793	22.0468	31.6699	28.4846
TCM62	13.9779	13.504	14.0365	11.5392	12.859	12.5915
TCO89	7.09047	6.63386	7.36127	5.31547	6.3959	7.16596
TCP1	112.293	91.3896	87.3797	120.59	96.2721	92.6329
TDH1	2214.35	3084.06	3623.48	1272.92	5180.77	6925.75
TDH2	15922.3	14717.1	13043.7	8705.06	18293.8	22022.2
TDH3	45251.6	0	34797.1	30456.7	0	52267.3
TDP1	8.70108	8.67196	9.37133	7.44727	8.16848	10.2722
TEA1	15.4861	17.8729	18.6343	13.722	13.9865	13.1225
TEC1	15.1352	14.6513	28.5143	8.43934	10.8498	10.0744
TED1	97.4328	80.9452	76.9197	90.3909	88.034	88.1481
TEF1	9740.77	8376.35	7477.55	9195.34	8401.54	8463.48
TEF2	11530.4	9948.67	9051.95	9789.04	9879.3	10643.7
TEF4	1284.26	1015.84	899.387	1199.71	1051.94	1127.63
TEL1	4.42996	4.67587	5.02403	4.20415	5.30257	4.51651
TEL2	12.3143	9.09833	9.19599	10.3635	8.60189	8.93679
TEM1	18.3455	18.0689	21.4991	18.6413	18.0743	17.7794
TEN1	11.1543	12.3621	12.4084	12.9939	12.1954	14.3626
TEP1	2.90807	2.02697	2.02771	3.55107	3.01178	3.40142
TES1	41.6786	31.1745	30.6516	28.8315	36.035	36.4502
TEX1	18.0804	19.0764	18.0753	17.6934	19.1372	19.5005
TFA1	23.7856	27.7667	29.8789	23.6525	21.5474	23.4897
TFA2	30.8204	28.1897	31.6034	34.2803	31.539	34.2376
TFB1	20.6433	21.9102	21.4525	15.8524	18.0168	17.7249
TFB2	17.1561	17.022	16.9015	16.1733	15.309	15.6954
TFB3	16.9224	17.2143	19.4919	14.9603	12.7294	16.4205
TFB4	22.3787	23.3551	22.6839	22.5219	19.1892	16.6822
